,ImageID,Source,LabelName,Confidence,XMin,XMax,YMin,YMax,IsOccluded,IsTruncated,IsGroupOf,IsDepiction,IsInside,XClick1X,XClick2X,XClick3X,XClick4X,XClick1Y,XClick2Y,XClick3Y,XClick4Y
13744,000a816392d086c4,xclick,/m/09b5t,1,0.307498,0.740522,0.619375,0.999375,1,1,0,0,0,0.381634,0.307498,0.740522,0.314238,0.619375,0.6825,0.999375,0.999375
13745,000a816392d086c4,xclick,/m/09b5t,1,0.409436,0.999158,0.148125,0.999375,0,1,0,0,0,0.581297,0.409436,0.759899,0.999158,0.148125,0.265625,0.999375,0.828125
32937,001faefaa0ae2053,xclick,/m/09b5t,1,0.39625,0.55375,0.370544,0.651032,1,0,0,0,0,0.52125,0.501875,0.55375,0.39625,0.370544,0.651032,0.474672,0.430582
47729,0037f7da182841f7,xclick,/m/09b5t,1,0.158163,0.885568,0.05625,0.9575,0,0,0,0,0,0.296647,0.885568,0.350583,0.158163,0.05625,0.315,0.9575,0.459375
50481,003d17ac8d6d6d45,xclick,/m/09b5t,1,0.0,0.7025,0.34717,0.996226,1,1,1,0,0,0.38,0.0,0.44,0.7025,0.34717,0.596226,0.996226,0.996226
50482,003d17ac8d6d6d45,xclick,/m/09b5t,1,0.43,0.9975,0.241509,0.826415,1,1,1,0,0,0.52,0.43,0.9975,0.9975,0.241509,0.298113,0.826415,0.29434
50483,003d17ac8d6d6d45,xclick,/m/09b5t,1,0.85,0.9975,0.513208,0.833962,0,0,0,0,0,0.8975,0.85,0.975,0.9975,0.513208,0.581132,0.833962,0.754717
51303,003e7a67277201e9,xclick,/m/09b5t,1,0.048125,0.4625,0.055833,0.72,1,0,0,0,0,0.4175,0.048125,0.318125,0.4625,0.055833,0.523333,0.72,0.165
51304,003e7a67277201e9,xclick,/m/09b5t,1,0.494375,0.9975,0.24,0.999167,0,0,0,0,0,0.60875,0.494375,0.9975,0.74125,0.24,0.665,0.505,0.999167
60428,00529370eba518dc,xclick,/m/09b5t,1,0.1,0.140625,0.576015,0.640227,1,0,0,0,0,0.135625,0.1,0.121875,0.140625,0.576015,0.595845,0.640227,0.595845
60429,00529370eba518dc,xclick,/m/09b5t,1,0.18875,0.395,0.556185,0.749764,1,0,1,0,0,0.27625,0.18875,0.295,0.395,0.556185,0.694051,0.749764,0.649669
