epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7818,1.25446,2.15194,1.45421,0.82474,0.60833,0.73061,0.45564,1.08023,2.14421,1.62197,0.000656085,0.000656085,0.000656085
2,27.4388,1.44158,1.82545,1.56993,0.51076,0.5875,0.51859,0.25343,1.73722,3.56636,2.8635,0.00130404,0.00130404,0.00130404
3,39.9406,1.48984,1.76541,1.62788,0.33802,0.4875,0.30621,0.14492,1.67692,2.8201,2.44528,0.00193315,0.00193315,0.00193315
4,52.1494,1.53707,1.73739,1.65811,0.47182,0.25833,0.28748,0.14125,2.14367,3.22132,2.61868,0.00191514,0.00191514,0.00191514
5,64.987,1.50821,1.60611,1.63737,0.68092,0.64583,0.72473,0.43618,1.27164,1.69292,1.77496,0.00188686,0.00188686,0.00188686
6,77.6538,1.48573,1.56025,1.61637,0.75673,0.60417,0.68977,0.41581,1.28098,1.68969,1.85442,0.00185857,0.00185857,0.00185857
7,89.8755,1.45894,1.53852,1.6048,0.79873,0.6945,0.78034,0.50555,1.2507,1.44768,1.75,0.00183029,0.00183029,0.00183029
8,102.375,1.43726,1.51262,1.59536,0.61707,0.57083,0.58923,0.33136,1.46714,1.86624,1.9507,0.001802,0.001802,0.001802
9,115.535,1.39887,1.44512,1.5631,0.82955,0.73002,0.79531,0.50864,1.18196,1.51733,1.66557,0.00177371,0.00177371,0.00177371
10,128.394,1.42009,1.40033,1.56576,0.7842,0.75833,0.79686,0.53366,1.22087,1.19993,1.72689,0.00174543,0.00174543,0.00174543
11,140.528,1.39371,1.38488,1.54915,0.82504,0.76667,0.81991,0.55794,1.04302,1.15357,1.58223,0.00171714,0.00171714,0.00171714
12,152.571,1.33927,1.32349,1.52616,0.79569,0.69776,0.79177,0.54851,1.00029,1.24399,1.53408,0.00168886,0.00168886,0.00168886
